pd,pb
1.223192718650957939e-01,1.119951533619500672e-01
1.516943983308101374e-01,1.447777831118118308e-01
2.627904702151345750e-01,3.053762701513050293e-01
2.720245521578656400e-01,3.265162599317086856e-01
1.841138057894929347e-01,1.963510964508735912e-01
2.577806969743252075e-01,2.973813502941933251e-01
1.577724158925248865e-01,1.507682225706127588e-01
2.050653248901429804e-01,2.105303981939086466e-01
2.578520729690688684e-01,3.008583092685600535e-01
2.873092095488135600e-01,3.486019582437506203e-01
2.120502296803762066e-01,2.204951046853738938e-01
2.532550783398473948e-01,2.930152007010127790e-01
2.617631891498109487e-01,3.137506295243036036e-01
3.257640573521311533e-01,4.416898403290724362e-01
3.130296477268867394e-01,4.108864881951028725e-01
3.714096210975947887e-01,5.358288272047228018e-01
2.280189066438708390e-01,2.547773907282535610e-01
2.726864978007319529e-01,3.269478482844643263e-01
2.985420306348358088e-01,3.687287576835777125e-01
1.350485909123679551e-01,1.201137570933913934e-01
1.759475923560602784e-01,1.649638265753983479e-01
2.109410688459207595e-01,2.212158603208475571e-01
2.934340349081243637e-01,3.825954277490279387e-01
3.099794043463833249e-01,3.916252056526591252e-01
3.331799545345215385e-01,4.528933852700108842e-01
3.536647872290845096e-01,4.971446593754739740e-01
3.316999223016531273e-01,4.492243762317414957e-01
3.544183274005520690e-01,4.839478665488645692e-01
2.710770632874901498e-01,3.298515573621207952e-01
3.114610411363937237e-01,3.964660156157965298e-01
4.204533187530848370e-01,6.746490842809514943e-01
4.965909412562395930e-01,9.124766432776735270e-01
4.656281463722367064e-01,8.136912230027961712e-01
5.062058952297650016e-01,9.470552498715361089e-01
5.032977630722038631e-01,9.474048873278894112e-01
5.100955431502491866e-01,9.815846566788143379e-01
5.120414995066215891e-01,9.784926389593666674e-01
4.798190816889230659e-01,8.388132465362230228e-01
4.979224554925544832e-01,9.083524181150807175e-01
4.922539708164529459e-01,9.058023941118182876e-01
5.073422348442122587e-01,9.489169338975969037e-01
4.921534793011273501e-01,8.879810771810824344e-01
5.035002300603341752e-01,9.403855218732395382e-01
4.773390052198311917e-01,8.356829410733366270e-01
4.745105277105967079e-01,8.320956116145306058e-01
4.682805233158869318e-01,8.201493623530128341e-01
4.341973211332118554e-01,6.995236139407049469e-01
4.326283335385519568e-01,7.060058480163192707e-01
4.319812418986828106e-01,7.086963658202526384e-01
3.573603164092074014e-01,4.972035034013811416e-01
3.648237395456082055e-01,5.099454462902833773e-01
4.100362206404202237e-01,6.271242055406193172e-01
4.144947475149586835e-01,6.411684570999111044e-01
3.474244349293453826e-01,4.777832279736741738e-01
3.926317596495838558e-01,5.837765694631621427e-01
3.755235087444743214e-01,5.442930324286766597e-01
4.378602004883226373e-01,7.307798384038365347e-01
5.033220298901475154e-01,9.347516130318818117e-01
5.109400078314451088e-01,9.580453650887477135e-01
4.969711557272051272e-01,9.094775696026934364e-01
5.171118797566435221e-01,9.951952287891565607e-01
5.012422014882982335e-01,9.366673994411632842e-01
4.839101663390815156e-01,8.639820658310564117e-01
4.688382621235496761e-01,8.207689531406270333e-01
4.314666473093875521e-01,6.959882549191073187e-01
4.187689004435389828e-01,6.861117329490759031e-01
4.021510293687354243e-01,6.127201611298717099e-01
4.650097618027149715e-01,8.082016292244051936e-01
4.042321310809364743e-01,6.157993874943848978e-01
3.804569915426158078e-01,5.613390317008422059e-01
4.123417516550456074e-01,6.537803230434933166e-01
4.576956810391401564e-01,7.899585791749863528e-01
4.728981024959908464e-01,8.211430197386728747e-01
4.495776757767510623e-01,7.648824652831988091e-01
4.423730333268122705e-01,7.234920057235914026e-01
4.099314089179491583e-01,6.490672633347212006e-01
3.812542260705977237e-01,5.598205988593029092e-01
3.988835033852047296e-01,5.936644180898703604e-01
3.918230395458339732e-01,5.733108590391569059e-01
3.302189097760866443e-01,4.512700852800353157e-01
3.420145057306839820e-01,4.828796606940296554e-01
3.593838439062003731e-01,4.955632473498775559e-01
3.978460069916793795e-01,5.923888010048725672e-01
3.715895860648935622e-01,5.360632597062032767e-01
3.842560985642022309e-01,5.578619730678624489e-01
3.358479292753682177e-01,4.714837477859003534e-01
3.911964793185744860e-01,5.777990047180677768e-01
2.505319135132570985e-01,2.881173374072462101e-01
3.121647507763338769e-01,4.086182136069863025e-01
3.809737939737237178e-01,5.670386130015665493e-01
3.701947354883702301e-01,5.235177350815614084e-01
3.695204906947653356e-01,5.333816475277881608e-01
2.994989529451009824e-01,3.782276226990389789e-01
2.936621556385807796e-01,3.677000236115957055e-01
3.398364136155646587e-01,4.584901893443490417e-01
3.295642972975392215e-01,4.399241245420127955e-01
2.433688520815467105e-01,2.802119703305524512e-01
7.983164354976296506e-02,5.273806021439893937e-02
9.358149334582072099e-02,6.351942067486625321e-02
6.685010408600554344e-02,4.050058592695785636e-02
2.688729864304188477e-01,3.229760226352796360e-01
2.144661461046087347e-01,2.377321811568628984e-01
2.121511230148581950e-01,2.321864635298037660e-01
3.505661307588035513e-01,4.952793667474919559e-01
2.968034413233885949e-01,3.808194864444762184e-01
3.195139046471528466e-01,4.124823341861876269e-01
3.491613686767628399e-01,4.790356000566887151e-01
4.098750349726576481e-01,6.364688566117383539e-01
4.053302134753188346e-01,6.412557261212976645e-01
4.300481861783309601e-01,6.976082898274725830e-01
3.980718818133005543e-01,5.981056228323600177e-01
3.274739625530809217e-01,4.326349212395884658e-01
3.582560132374907891e-01,5.023674417129534442e-01
3.942030254538062550e-01,5.799316702228992648e-01
4.355796720910405373e-01,7.092861362507175693e-01
4.287557042181544542e-01,7.024262997708520251e-01
