pd,pb
4.749623114133966206e-01,9.995017966936536880e-01
4.749623114133966206e-01,9.995017966936536880e-01
4.749623114133966206e-01,9.995017966936536880e-01
4.751542753904312022e-01,9.998013230516596961e-01
4.751542753904312022e-01,9.998013230516596961e-01
4.751542753904312022e-01,9.998013230516596961e-01
4.751542753904312022e-01,9.998013230516596961e-01
4.751542753904312022e-01,9.998013230516596961e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.750970862004492701e-01,9.996091103372458653e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.753978381970985767e-01,9.999389514301503246e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.750663099364784703e-01,9.997308344354935983e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
4.752607197109623982e-01,9.998547107237161224e-01
