pd,pb
2.171606171240231531e-01,2.330074153716067964e-01
2.488534435296994585e-01,2.832388371116173476e-01
2.673585804666055443e-01,3.128966571811577779e-01
3.197386953544739674e-01,4.213977986792080133e-01
2.261000942546452508e-01,2.502809277747699013e-01
2.648398384921046289e-01,3.112929016581094110e-01
2.477316541457698085e-01,2.766911484108917074e-01
2.652281577382828437e-01,3.144655488482406835e-01
2.071148331093486950e-01,2.226530620176327968e-01
1.933669882464825462e-01,1.968895400851293775e-01
2.099600849574267958e-01,2.292704851054351844e-01
1.958820559603206557e-01,1.974211315922382304e-01
1.554310400035868456e-01,1.372455153394162020e-01
7.959156522364234376e-02,4.958067316806721858e-02
8.824101325143185459e-02,6.436132284805494430e-02
1.012197909143229824e-01,8.655469105041276034e-02
8.553144179175908857e-02,5.634436361511729885e-02
1.321205931297336766e-01,1.082932017426640747e-01
1.817512652227921688e-01,1.790594574075283218e-01
2.884743101073909965e-01,3.503106230918719977e-01
2.371324194655530793e-01,2.736715489785707667e-01
2.693956923905261869e-01,3.219253554896800429e-01
1.962742114296117391e-01,1.952365213301973657e-01
1.178739428416228363e-01,9.574436147337631042e-02
1.356450984004041738e-01,1.252066884830239646e-01
2.176953614944800997e-01,2.457570853926189791e-01
8.540437157747586550e-02,5.756841261221396638e-02
7.485989731576306316e-02,4.321900185921026538e-02
1.555565662991959530e-01,1.436800286194548637e-01
1.869975385101314558e-01,1.811602725047858076e-01
3.364294464094716441e-02,1.248963325249888290e-03
7.254555598136269712e-02,4.688285152493579938e-02
2.164840163499239523e-01,2.276827324354552262e-01
1.849330904022787603e-01,1.905301646675094385e-01
1.084072183742755685e-01,9.023321555093156976e-02
1.664229540617727099e-01,1.588902784260119716e-01
1.844390076016015623e-01,1.881852425486157665e-01
9.601807506749822363e-02,7.005319776513681262e-02
1.717699245540115216e-01,1.692194245720564927e-01
1.817094410217002520e-01,1.829762114858195510e-01
2.864998932390678821e-01,3.634932793738002155e-01
2.802946921943001435e-01,3.445497943380366745e-01
2.938211793193910570e-01,3.644240699099431935e-01
2.694905676332345901e-01,3.281951886329371737e-01
3.493898684299948654e-01,4.755336369132443508e-01
3.082172882918125523e-01,3.876133499535788229e-01
2.948937454127628088e-01,3.659062979050826669e-01
3.238461693651857320e-01,4.295699699803452454e-01
2.684492583833708035e-01,3.169110661761356806e-01
7.083092025105428013e-02,3.988526430319767890e-02
1.077942894757999148e-01,7.952834220318405478e-02
8.429067172525500640e-02,5.458211198394950781e-02
3.380044945666374478e-02,4.298303157204280689e-03
1.344919986951051694e-01,1.136204595206032342e-01
1.773699834305538237e-01,1.763369018925288745e-01
1.850592523242279852e-01,1.855213244289859453e-01
9.871701168012356198e-02,7.027469322900387061e-02
4.084175372141646276e-02,9.237490417774579798e-03
1.166865325441036189e-01,9.216337878428651487e-02
4.715909897536264828e-02,1.151508294790346519e-02
5.317118058850819201e-02,2.189877981648200717e-02
8.779772227610617430e-02,5.478629286665627485e-02
7.837871078828326232e-02,4.578686818153988869e-02
8.320392734113198074e-02,5.172898098366952857e-02
1.180166578259049248e-01,9.268424305250608231e-02
8.252008084438147706e-02,5.875720215955616832e-02
4.810553004997474014e-02,1.485146860429844423e-02
1.065266147880195302e-01,9.664266172133052779e-02
2.225631780573938401e-01,2.422610588209617721e-01
2.530160647016930775e-01,2.905408590577715500e-01
3.366010316998353513e-01,4.529725386830943390e-01
3.543858850307782804e-01,4.916738010181876950e-01
3.600191252421597876e-01,5.231734620216916820e-01
4.449668152900563278e-01,7.228214464348079460e-01
3.898091095144932683e-01,5.849035067888698203e-01
4.115728956859063814e-01,6.337072823575795599e-01
3.608332145178539396e-01,5.031989093344132469e-01
3.601781358982369952e-01,4.981569394233993919e-01
2.598576014459627048e-01,3.085716935746428691e-01
1.927252362176106737e-01,1.966120728155959785e-01
1.656621572583254209e-01,1.533768852189513199e-01
